Symbol,FPKM_6e,FPKM_ac2,FPKM_sc,FPKM_wt
MFNG,0.28271,0.607694,0.127139,0.655448
MGAT3,2.2352,1.32591,0.948839,1.88508
ALG12,12.5595,17.3652,11.9001,14.2371
GALNT15,0,0.0219396,0.0182721,0.0373335
STT3B,36.1965,35.4113,22.5959,29.0111
POMGNT2,14.2737,9.64923,8.13377,7.09699
GLT8D1,31.0948,20.9722,15.8054,17.0538
EOGT,3.35048,5.61579,2.84449,5.04876
GXYLT2,4.36636,1.83281,3.02728,1.68084
ST3GAL6,5.43811,5.73504,5.83742,2.2787
B4GALT4,8.66303,6.73786,5.02741,6.06983
POGLUT1,8.08458,7.31029,3.22436,4.20577
ALG1L,22.0693,2.06719,0.938018,0.632915
CHST13,0.873565,0.0509632,0.0497399,0
ALG1L2,0,0,0,0.127835
CHST2,1.28896,0.419418,0.472665,0.559977
GYG1,15.6552,15.2146,12.7845,14.5776
B3GALNT1,0,5.35948,3.53789,5.16858
B3GNT5,4.0987,6.0587,3.76072,6.40262
ALG3,21.5268,24.2589,24.2797,25.7227
ST6GAL1,7.06885,2.20186,4.91449,2.92863
XXYLT1,14.4009,13.3662,14.5203,10.7999
PIGZ,0.681033,0.504667,0.0941041,0.0275056
PIGG,9.22119,11.2465,7.12096,9.99791
HS3ST1,0.653806,0.488035,0.00601142,0.48614
UGT2B17,0,0,0,0
UGT2B15,0,0,0,0
UGT2B10,0,0,0,0
UGT2A3,0,0,0,0
UGT2B7,0,0,0,0
UGT2B11,0,0,0,0
UGT2B28,0,0,0,0
UGT2B4,0.0484912,0,0,0
UGT2A1,0,0,0,0
UGT8,4.43492,3.328,4.19119,4.23285
NDST4,0.286865,0.518099,0.439114,0.198498
NDST3,0.132874,0.0487038,0.146059,0.0242265
MGAT4D,0,0,0,0
GALNTL6,0.456954,0.290868,1.16326,0.0355557
GALNT7,17.6052,16.2009,13.2302,19.199
UGT3A1,0,0.0302182,0,0.42396
UGT3A2,0.624552,2.10558,1.39087,1.27499
GCNT4,0,0.0813147,0.105508,0.152795
ST8SIA4,0.360809,0.67232,0.512151,0.211328
CHSY3,1.73714,1.55007,2.08924,0.566729
NDST1,10.8744,11.1552,9.46753,9.62536
GALNT10,6.40698,6.42923,5.36401,4.95522
B4GALT7,14.4367,11.8273,11.0853,12.8334
MGAT4B,62.4398,65.5277,59.7419,55.0361
MGAT1,22.485,22.4747,19.3994,20.2353
GCNT2,1.71407,1.25939,0.305386,0.7788
B3GALT4,0.239945,0.77564,0.361915,1.07527
B3GAT2,3.54727,3.59443,4.25039,4.49858
FUT9,0,0.00384592,0.306785,0
HS3ST5,0.103466,0.209059,0.483314,0.142981
MAN1A1,11.2955,11.6854,14.6873,16.5723
UST,5.75756,6.83138,6.87921,8.27063
CHST12,7.66568,6.65516,7.01397,9.67789
LFNG,0.649556,0.57344,0.670152,1.23218
C1GALT1,6.52264,7.11386,5.77136,10.4536
DPY19L1,15.1863,17.3193,16.7395,17.1898
GAL3ST4,1.15841,0.280103,0.267924,0.559397
PLOD3,21.1876,17.375,15.2261,24.1561
CHPF2,9.49227,6.48968,6.25782,7.06677
GALNTL5,0.0838103,0,0,0
GALNT11,33.5448,15.0776,21.9154,13.8834
CSGALNACT1,0.501953,0.17461,0.166645,0.85338
EXTL3,8.99973,8.39325,7.56736,8.43221
FUT10,3.4843,2.91071,2.84946,2.34386
POMK,1.52359,2.18783,2.65824,2.75785
DPY19L4,8.91501,7.5654,10.9343,6.14689
EXT1,20.2919,20.9945,15.9491,17.9377
HAS2,0.167952,0.0727238,0.0825836,0.144692
ST3GAL1,3.35629,1.67743,1.32231,1.18914
B4GALT1,6.28087,9.05342,9.11629,11.8442
PIGO,5.87566,8.68556,10.6092,14.7558
GCNT1,2.59781,2.36566,3.84447,4.5434
GALNT12,5.45684,1.04083,2.81658,1.4828
ALG2,7.4844,7.05748,9.50548,10.2787
TMEM246,2.55665,3.32459,5.23806,5.96031
FKTN,9.52959,5.47759,4.70095,6.03647
UGCG,6.08191,5.39295,4.41864,9.01122
GGTA1P,0,0,0.146265,0
ST6GALNAC6,9.85446,7.01491,10.1613,10.5811
ST6GALNAC4,11.0479,2.24633,5.80036,2.22024
CERCAM,21.4786,16.7612,23.8371,31.5213
POMT1,9.49941,24.6651,25.5225,26.5256
GBGT1,0.325724,3.30997,1.92544,5.15304
GLT6D1,0,0,0,0
FUT7,0.0401552,0,0,0
MAN1B1,15.4795,12.6374,9.46789,12.801
GYG2,9.23758,0.810704,0,0
PIGA,5.17854,9.06111,2.96699,5.83024
CHST7,0.985246,3.33075,2.99664,3.3826
OGT,28.3113,28.4146,24.8155,17.7522
ALG13,13.99,20.0888,18.2661,19.4028
C1GALT1C1,5.99558,11.1039,5.09593,9.1096
HS6ST2,7.55384,8.40866,11.0191,10.9583
